No saved genome found.
Genome 40: Fitness 44.59
Genome 41: Fitness 60.53
Genome 42: Fitness 40.22
Genome 43: Fitness 51.71
Genome 44: Fitness 86.17
Genome 45: Fitness 60.14
Genome 46: Fitness 76.72
Genome 47: Fitness 24.65
Genome 48: Fitness 40.57
Genome 49: Fitness 39.85
Genome 50: Fitness 76.98
Best fitness: 92.84
Generation 12/100
Genome 1: Fitness 92.84
Genome 2: Fitness 92.80
Genome 3: Fitness 92.17
Genome 4: Fitness 53.21
Genome 5: Fitness 44.39
Genome 6: Fitness 53.94
Genome 7: Fitness 49.90
Genome 8: Fitness 56.43
Genome 9: Fitness 61.69
Genome 10: Fitness 49.07
Genome 11: Fitness 32.03
Genome 12: Fitness 54.35
Genome 13: Fitness 78.59
Genome 14: Fitness 81.73
Genome 15: Fitness 84.28
Genome 16: Fitness 49.59
Genome 17: Fitness 69.49
Genome 18: Fitness 56.80
Genome 19: Fitness 33.02
Genome 20: Fitness 35.29
Genome 21: Fitness 81.97
Genome 22: Fitness 87.22
Genome 23: Fitness 55.10
Genome 24: Fitness 59.95
Genome 25: Fitness 65.84
Genome 26: Fitness 78.11
Genome 27: Fitness 53.47
Genome 28: Fitness 54.73
Genome 29: Fitness 59.24
Genome 30: Fitness 32.92
Genome 31: Fitness 20.67
Genome 32: Fitness 81.37
Genome 33: Fitness 42.96
Genome 34: Fitness 73.01
Genome 35: Fitness 45.06
Genome 36: Fitness 49.85
Genome 37: Fitness 67.30
Genome 38: Fitness 52.74
Genome 39: Fitness 52.14
Genome 40: Fitness 46.25
Genome 41: Fitness 27.58
Genome 42: Fitness 61.00
Genome 43: Fitness 47.88
Genome 44: Fitness 43.14
Genome 45: Fitness 25.14
Genome 46: Fitness 50.64
Genome 47: Fitness 41.78
Genome 48: Fitness 48.33
Genome 49: Fitness 85.32
Genome 50: Fitness 61.51
Best fitness: 92.84
Generation 13/100
Genome 1: Fitness 92.84
Genome 2: Fitness 92.80
Genome 3: Fitness 92.17
Genome 4: Fitness 89.26
Genome 5: Fitness 76.97
Genome 6: Fitness 69.98
Genome 7: Fitness 65.20
Genome 8: Fitness 13.76
Genome 9: Fitness 76.34
Genome 10: Fitness 29.37
Genome 11: Fitness 21.94
Genome 12: Fitness 65.98
Genome 13: Fitness 63.89
Genome 14: Fitness 53.45
Genome 15: Fitness 74.98
Genome 16: Fitness 60.74
Genome 17: Fitness 22.90
Genome 18: Fitness 59.02
Genome 19: Fitness 18.10
Genome 20: Fitness 80.96
Genome 21: Fitness 39.91
Genome 22: Fitness 85.31
Genome 23: Fitness 58.92
Genome 24: Fitness 53.46
Genome 25: Fitness 89.34
Genome 26: Fitness 88.83
Genome 27: Fitness 66.41
Genome 28: Fitness 40.43
Genome 29: Fitness 35.78
Genome 30: Fitness 69.30
Genome 31: Fitness 43.22
Genome 32: Fitness 45.69
Genome 33: Fitness 21.44
Genome 34: Fitness 88.24
Genome 35: Fitness 56.96
Genome 36: Fitness 51.13
Genome 37: Fitness 61.34
Genome 38: Fitness 84.15
Genome 39: Fitness 47.26
Genome 40: Fitness 52.55
Genome 41: Fitness 85.81
Genome 42: Fitness 36.41
Genome 43: Fitness 46.72
Genome 44: Fitness 52.88
Genome 45: Fitness 35.76
Genome 46: Fitness 29.91
Genome 47: Fitness 63.79
Genome 48: Fitness 60.61
Genome 49: Fitness 72.44
Genome 50: Fitness 46.38
Best fitness: 92.84
Generation 14/100
Genome 1: Fitness 92.84
Genome 2: Fitness 92.80
Genome 3: Fitness 92.17
Genome 4: Fitness 37.73
Genome 5: Fitness 15.57
Genome 6: Fitness 33.11
Genome 7: Fitness 45.39
Genome 8: Fitness 78.37
Genome 9: Fitness 39.30
Genome 10: Fitness 91.48
Genome 11: Fitness 46.50
Genome 12: Fitness 47.81
Genome 13: Fitness 42.58
Genome 14: Fitness 33.63
Genome 15: Fitness 87.17
Genome 16: Fitness 65.56
Genome 17: Fitness 55.47
Genome 18: Fitness 53.53
Genome 19: Fitness 81.88
Genome 20: Fitness 68.48
Genome 21: Fitness 31.45
Genome 22: Fitness 33.63
Genome 23: Fitness 35.34
Genome 24: Fitness 74.23
Genome 25: Fitness 57.93
Genome 26: Fitness 77.93
Genome 27: Fitness 35.14
Genome 28: Fitness 51.35
Genome 29: Fitness 81.55
Genome 30: Fitness 8.42
Genome 31: Fitness 38.74
Genome 32: Fitness 76.21
Genome 33: Fitness 69.77
Genome 34: Fitness 16.39
Genome 35: Fitness 67.90
Genome 36: Fitness 40.54
Genome 37: Fitness 66.71
Genome 38: Fitness 40.14
Genome 39: Fitness 54.55
Genome 40: Fitness 52.15
Genome 41: Fitness 81.00
Genome 42: Fitness 81.05
Genome 43: Fitness 65.17
Genome 44: Fitness 41.18
Genome 45: Fitness 74.60
Genome 46: Fitness 44.91
Genome 47: Fitness 62.66
Genome 48: Fitness 90.49
Genome 49: Fitness 38.25
Genome 50: Fitness 51.19
Best fitness: 92.84
Generation 15/100
Genome 1: Fitness 92.84
Genome 2: Fitness 92.80
Genome 3: Fitness 92.17
Genome 4: Fitness 62.81
Genome 5: Fitness 81.42
Genome 6: Fitness 17.13
Genome 7: Fitness 34.14
Genome 8: Fitness 30.33
Genome 9: Fitness 41.63
